Play Name,Play X, Play Y,ClusterNumber
As_You_Like_It,-6.088819109141148,-3.173314587223653,0
A_Midsummer_Nights_Dream,-5.848118652655525,-3.1260808462104843,0
Coriolanus,-4.79654360941577,-4.271039906710871,0
Julius_Caesar,-4.730449012190308,-2.85486922960512,0
Measure_For_Measure,-6.268843741922279,-3.629316381558002,0
Much_Ado_About_Nothing,-5.26247866503873,-1.4994433592638168,0
The_Taming_of_the_Shrew,-6.565600299313742,-2.3723093751407403,0
Twelfth_Night,-5.493807424364617,-1.4626095527487133,0
Anthony_and_Cleopatra,16.684598045786935,0.47169759392984323,1
Hamlet,15.886387475852802,1.9014120909594312,1
Macbeth,16.068370073407202,0.05156651828344263,1
Richard_II,18.502957421539797,-0.3125506451751449,1
The_Tempest,15.66210790911442,0.399624972448039,1
The_Merry_Wives_of_Windsor,-11.224294375965744,48.42540589644016,2
The_Comedy_of_Errors,-8.898733020167619,7.575785912422705,3
Alls_Well_That_Ends_Well,-7.013422689509108,-4.003619320148904,4
Henry_IV_Part_I,-7.975015891625498,-4.984556554953079,4
Henry_IV_Part_II,-7.655313661976139,-4.249092551767623,4
King_Lear,-7.379112339133719,-5.729375488581193,4
Loves_Labours_Lost,-8.169419509818626,-4.971488323853797,4
Richard_III,-5.993149570724887,-5.316161736624174,4
Romeo_and_Juliet,-7.6320458481584526,-4.763715256353833,4
The_Winters_Tale,-6.6387503980525295,-4.372688924700146,4
Titus_Andronicus,-6.331685021561162,-5.259173099213652,4
Henry_V,23.43341125850529,3.676543920656252,5
Othello,11.633057343239429,1.6918353982046865,6
The_Merchant_of_Venice,12.094713313289661,2.1575328364883744,6
